Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
7705,Gestoos,,11 - 50,3.011814,4,2.95575,venture_unknown,Late Stage Venture,2.0,6645855.0,crunchbase,Barcelona,Spain,Mediterranean,['Exipple Studio'],,Kibo Ventures;OneRagtime,,Catalonia,34c0a193d26e240967ea0612f50f970a,08003,gestoos
7706,What Goes Around Comes Around,,11 - 50,20.4,1,20.4,venture_unknown,Late Stage Venture,,394020.0,crunchbase,New York,United States,US-East,['WGACA'],New York,,,New York,30730073a70e5b2e399ed7386b8c12a6,10013,what-goes-around-comes-around
7707,Inception,,11 - 50,15.0,1,15.0,venture_a,Early Stage Venture,5.0,7275573.0,crunchbase,Tel Aviv,Israel,Israel,,,Ataria;RTL Group;iAngels,"Packer, James;Weiss, Gigi Levy",Tel Aviv,dd2a6bcdb988079da19a4f966146aa79,,inception-2
7708,Relativity Space,,101 - 250,185.72,4,140.0,venture_c,Late Stage Venture,18.0,589354.0,crunchbase,Inglewood,United States,,['Relativity'],,Playground Global;Wavemaker Partners;Y Combinator;Republic Labs;Social Capital;Allen & Company LLC;3L Capital;Tribe Capital;Bond,"Deutch, Phil;Fixel, Lee;Staggs, Tom;Leto, Jared;Gerstner, Brad;Cuban, Mark;Rascoff, Spencer;Lurie, Zander;Ovitz, Michael",California,d035d7c6600d1e376482955860c37d3a,,relativity-space
7709,Sense Biodetection,,1 - 10,18.79136,3,15.814119,venture_a,Early Stage Venture,4.0,,crunchbase,Abingdon,United Kingdom,UK&I,,,Mercia Asset Management;Cambridge Innovation Capital;Earlybird Venture Capital,"Milner, Jonathan",Oxfordshire,9009ccf04fb9489c4bf5782f55a58bf6,14 3EB,sense-biodetection
7710,feel22.com,,,0.0,1,0.0,venture_a,Early Stage Venture,1.0,401093.0,crunchbase,Beirut,Lebanon,MENA,,,Equitrust,,Beyrouth,1912e7c5167d62a6b9b1207b53da7421,,glam-22
7711,Medirisk,,11 - 50,1.5,2,0.0,venture_a,Early Stage Venture,1.0,,crunchbase,Tel Aviv,Israel,Israel,['Medirisk Solutions'],,Fuerst Technology Innovations,,Tel Aviv,f9d198a36475db320541e6dcf8bf0330,10025,medirisk-solutions
7712,OptiKira,,,5.55,3,3.7,venture_unknown,Late Stage Venture,,,crunchbase,Cleveland,United States,US-Central,,East Central,,,Ohio,15bd03173bf4881dd7dfceedce5f5004,44122,optikira
7713,Legalist,,11 - 50,100.0,2,100.0,venture_unknown,Late Stage Venture,,1983083.0,crunchbase,San Francisco,United States,US-West,,Northern California,,,California,943c47aa4b9bc7ed735ccfea90799459,94107,legalist
7714,Keriton,,1 - 10,1.0,2,0.0,venture_unknown,Late Stage Venture,2.0,22678838.0,crunchbase,Philadelphia,United States,US-East,,Greater Philadelphia,Dorm Room Fund;Dreamit Ventures,,Pennsylvania,22b2cd8df6e5f3ff1fbc8fbb1ad1053d,19139,keriton
7715,Pharmarack,,101 - 250,3.749624,2,3.0,venture_a,Early Stage Venture,3.0,171661.0,crunchbase,Pune,India,India,,,Unicorn India Ventures;IvyCap Ventures;Patni Group,,Maharashtra,ac2175bb88ddb838c1aa969d55eebe9d,411016,pharmarack
7716,MistNet,,11 - 50,7.0,2,7.0,venture_a,Early Stage Venture,3.0,8483029.0,crunchbase,Mountain View,United States,US-West,['MistNet.ai'],Northern California,security company;WestWave Capital;Foundation Capital,,California,7e367a410c4583c4346204ad92086c0b,94041,mistnet-io
7717,PingPong,,51 - 100,122.0,6,0.0,venture_d,Late Stage Venture,6.0,1351037.0,crunchbase,Hangzhou,China,Greater China,['杭州呯嘭智能技术有限公司'],,Yizheng Tiandao;CBC Capital;Sinowisdom;Cybernaut Venture Capital;Puluo Capital;Ocean Link,,Zhejiang,d9cfe6869918058c2d7ead92a0efe84f,310051,pingpong
7718,FAST JAPAN,,,3.03703,2,0.53703,venture_unknown,Late Stage Venture,3.0,4827773.0,crunchbase,Tokyo,Japan,Japan,,,KVP;Canal Ventures;DG Ventures,,Tokyo,6591a8e60b0de97030929a89e0df7f3c,,fast-japan
7719,LogDNA,,51 - 100,33.42,4,25.0,venture_b,Early Stage Venture,4.0,241421.0,crunchbase,Mountain View,United States,,,,Y Combinator;Providence Equity Partners;Initialized Capital;Emergence,,California,3d0c0ce06688133791bb8742808a8785,,logdna
7720,Teal,,11 - 50,13.3,3,0.0,venture_unknown,Late Stage Venture,,4392023.0,crunchbase,Salt Lake City,United States,US-West,,"Utah Region (Utah, Idaho and Wyoming)",,,Utah,c7bb87dd5b5068ff4af038c3069efdc9,84107,teal
7721,Baobao,,,15.0,2,15.0,venture_b,Early Stage Venture,4.0,608967.0,crunchbase,Beijing,China,Greater China,"['抱抱', 'myhug']",,Shunwei Capital;Meridian Capital;Tencent Holdings;GGV Capital,,Beijing,dfb2fd6ac595373ee0dd9e7f0b1144ab,100107,baobao
7722,Sideline Sneakers,,1 - 10,2.980885,1,2.980885,venture_unknown,Late Stage Venture,,1876353.0,crunchbase,Boca Raton,United States,US-Central,,Florida,,,Florida,fd2bdba11cf7ffdb69e3843ff1069f79,33433,sideline-sneakers
7723,Firefly Medical,,1 - 10,0.0,1,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Fort Collins,United States,US-West,,Mountain Desert,Carlton-Harvey Group,,Colorado,69978ea22e2cf1146c892fabb546a1ce,80524,firefly-medical
7724,AuXin Surgery,,1 - 10,0.0,3,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Louvain-la-neuve,Belgium,WEM,,,GoBeyond,,Vlaams-Brabant,b7aab339dc81fc982895375f967cbcae,,auxin-surgery
7725,Stepping Stone Dental Partners,,101 - 250,2.795,2,2.6,venture_unknown,Late Stage Venture,,,crunchbase,Madison,United States,US-Central,,Midwest,,,Wisconsin,d2b521950336482da7f6f0305911e6bb,53719,stepping-stone-dental-partners
7726,Fresh Detect,,11 - 50,2.300239,4,0.0,venture_c,Late Stage Venture,1.0,22726514.0,crunchbase,Pullach,Germany,GSA,,,GoBeyond,,Bayern,33b9a08765142a348826200a073bf193,82049,fresh-detect
7727,Viewider,,11 - 50,0.65,2,3.5,venture_a,Early Stage Venture,1.0,4258067.0,crunchbase,Sha Tin,Hong Kong,Greater China,['Jun'],,Dark Horse Investment,,New Territories,8234d2dc5d35a6011dde881ee5527f33,,viewider
7728,OneLIFE,,1 - 10,4.014039,2,2.459263,venture_a,Early Stage Venture,1.0,19149364.0,crunchbase,Louvain-la-neuve,Belgium,WEM,,,GoBeyond,,Vlaams-Brabant,cc6f70f8bfdff0defb8afa42e94eb2c5,B-1348,onelife
7729,Vigo Universal,,1 - 10,0.0,1,0.0,venture_unknown,Late Stage Venture,2.0,15166379.0,crunchbase,Namur,Belgium,WEM,,,GoBeyond,"Dupriez, Baudouin",Namur,a5c34caa11a0fb8335c2e64131ef6578,5000,vigo-universal
7730,BATL (batlgrounds.com),,251 - 500,10.0,2,10.0,venture_a,Early Stage Venture,,611475.0,crunchbase,Toronto,Canada,Canada,"['BATL, ', 'The Backyard Axe Throwing League', 'BATL Global Corp']",,,,Ontario,edf840461c6aa1465b02a8fd463edfa7,M5E 1B3,batl-batlgrounds-com
7731,BigchainDB,,11 - 50,5.37,2,3.37,venture_a,Early Stage Venture,5.0,1297016.0,crunchbase,Berlin,Germany,GSA,,,Digital Currency Group;innogy Ventures;RWE;Anthemis Group;Earlybird Venture Capital,,Berlin,af28fb5a99e26952788134f88fac2471,10115,bigchaindb
7732,Houwzer,,51 - 100,17.0,3,9.5,venture_a,Early Stage Venture,7.0,1677228.0,crunchbase,Philadelphia,United States,US-East,,Greater Philadelphia,Admiral Capital Group;Chestnut Street Ventures;Broad Street Angels;Edison Partners;GoPhillyFund,"Lubert, Ira;Minkoff, Jay",Pennsylvania,f773655eafc14099b024dbcd70a8a9e3,19102,houwzer-2
7733,SPARK Schools,,51 - 100,9.0,1,9.0,venture_b,Early Stage Venture,2.0,913944.0,crunchbase,Gauteng,South Africa,Africa,,,Omidyar Network;Pearson Affordable Learning Fund (PALF),,NA - South Africa,45c2d282c28903475d4d67a068d7e6a2,2160,spark-schools
7734,BillGO,,51 - 100,7.5,2,7.5,venture_unknown,Late Stage Venture,,3998242.0,crunchbase,Fort Collins,United States,US-West,,Mountain Desert,,,Colorado,906e0089bae8ecf22556e262c42ab615,80528,billhero
7735,Andra Capital - Silicon Valley Coin,,11 - 50,0.0,1,0.0,venture_unknown,Late Stage Venture,1.0,11395438.0,crunchbase,San Francisco,United States,US-West,,Northern California,Shatter Tech Venture Holdings,,California,6568de9fa92f1e31ec98e8530d6bb1ee,94111,andra-capital
7736,Cafeliers,,,0.0,2,0.0,venture_a,Early Stage Venture,1.0,23386936.0,crunchbase,Monterrey,Mexico,Latam North,['Sao Espresso'],,DriveOp,,Nuevo Leon,ce2cf6105c1407cd799010fc33e469ba,64000,saoespresso
7737,Orpyx Medical Technologies,,11 - 50,8.7,5,0.0,venture_unknown,Late Stage Venture,1.0,8347573.0,crunchbase,Calgary,Canada,Canada,"['Orpyx', 'SurroSense Rx', 'Orpyx LogR', 'SurroGait Rx', 'SurroSense', 'Orpyx SI ', 'Orpyx SI Sensory Insoles', 'Kinetyx']",,VA Angels,,Alberta,2ad7bb0ef46fab073787dd831e0ca4a5,T2A 7W6,orpyx-medical-technologies
7738,Foresite,,101 - 250,3.0,2,0.0,venture_unknown,Late Stage Venture,1.0,1477149.0,crunchbase,Overland Park,United States,US-Central,,Heartland,Elsewhere Partners,,Kansas,b31e2b053ff58270859a42119e305b43,66213,forsite-2
7739,Sturfee,,11 - 50,3.995,5,1.25,venture_a,Early Stage Venture,,27020991.0,crunchbase,Santa Clara,United States,US-West,,Northern California,,,California,10bba22895774f38734a0d5e2ac46ff3,95035,sturfee
7740,TeraBAT,,1 - 10,1.800323,2,0.749983,venture_unknown,Late Stage Venture,,,crunchbase,Niwot,United States,US-West,,Mountain Desert,,,Colorado,6414a633d099e1165654d6086f19c1af,80503,terabat
7741,ViCare,,,0.0,2,0.0,venture_unknown,Late Stage Venture,2.0,3024539.0,crunchbase,Hanoi,Vietnam,Asean,,,Pix Vine Capital;CyberAgent Capital,,NA - Vietnam,0f71f162a51bfe72305c5a7f49c77759,,vicare
7742,Freed Foods,,11 - 50,4.703111,1,4.703111,venture_unknown,Late Stage Venture,,,crunchbase,London,United Kingdom,UK&I,,,,,England,9b6efc44b602d98069804f325fd2e6e5,,freed-foods-2
7743,Patpat,,11 - 50,50.5,2,47.8,venture_c,Late Stage Venture,4.0,49081.0,crunchbase,Mountain View,United States,US-West,,Northern California,SIG China (SIG Asia Investments);FREES FUND;Sequoia Capital China;IDG Capital,,California,846b45bbd9f1a3a613179c36690d5ff2,94041,patpat
7744,Absolute Health & Performance,,11 - 50,0.6,1,0.6,venture_unknown,Late Stage Venture,,3575906.0,crunchbase,Melbourne,Australia,Oceania,,,,,Victoria,69b7e3f044283cc986630ecbf499b36e,3000,absolute-health-performance
7745,DSP Concepts,,11 - 50,24.5,2,14.5,venture_b,Early Stage Venture,5.0,2667097.0,crunchbase,Santa Clara,United States,US-West,,Northern California,Taiwania Capital;MediaTek Ventures;Porsche Ventures;BMW i Ventures;Sony Innovation Fund,,California,deb1ab07d9a538dcdeeaf8f32f018d34,95054,dsp-concepts
7746,ubirch,,11 - 50,0.0,3,0.0,venture_unknown,Late Stage Venture,2.0,4050831.0,crunchbase,Köln,Germany,GSA,,,Bauwens Digital;SchneiderGolling & Cie – Assekuranzmakler AG,,Nordrhein-Westfalen,ec276525e40349735dad3081bb17a717,50670,ubirch
7747,COR,,11 - 50,2.275,4,13.0,venture_a,Early Stage Venture,1.0,3765456.0,crunchbase,San Francisco,United States,US-West,"['Project COR', 'COR Global LTD', 'COR Profitability', 'COR Rentabilidad']",Northern California,ScOp Venture Capital,,California,dcdf997574c739ba88807c52d5866ad7,94105,cor-2
7748,SayKara,,11 - 50,7.5,2,5.0,venture_a,Early Stage Venture,4.0,8394115.0,crunchbase,Seattle,United States,US-West,,Pacific Northwest,SpringRock Ventures;Madrona Venture Group;Elevate Innovation Partners;New York Presbyterian Ventures,,Washington,b21358e6aa4e7da1e9b6dabd74fe1e9b,98112,saykara
7749,Wright Avenue Partners,,1 - 10,1.7575,1,1.7575,venture_unknown,Late Stage Venture,,,crunchbase,Cary,United States,US-Central,,"Southeast (Alabama, Carolinas, Georgia, Tennessee)",,,North Carolina,a5dfb52e5359350f2d8077179da6c7d0,27512,wright-avenue-partners
7750,Clubessential,,51 - 100,0.0,1,0.0,venture_unknown,Late Stage Venture,1.0,376763.0,crunchbase,Cincinnati,United States,US-Central,,East Central,Battery Ventures,,Ohio,f46434d284d738e5894ca9cc5d28c260,45226,clubessential
7751,Sostena,,,8.1,1,8.1,venture_unknown,Late Stage Venture,,22500159.0,crunchbase,Davis,United States,US-West,,Northern California,,,California,ccf7444230c2d1af6b083dbb9705a58d,95618,sostena
7752,United Silicon Carbide,,11 - 50,2.0,3,2.0,venture_unknown,Late Stage Venture,,3377019.0,crunchbase,Monmouth Junction,United States,US-East,,New Jersey,,,New Jersey,84db000953a331c28b85dcc96a6d215c,08852,united-silicon-carbide
7753,Alcide,,11 - 50,12.3,4,7.0,venture_a,Early Stage Venture,3.0,3295469.0,crunchbase,Tel Aviv,Israel,Israel,,,Elron Electronic Industries;Intel Capital;CE Ventures (CEIIF),,Tel Aviv,5c08ba5d5f15b83b7731fd52b8580e63,,alcide
7754,Province Brands,,11 - 50,11.803309,3,8.328611,venture_a,Early Stage Venture,,16255382.0,crunchbase,Cambridge Bay,Canada,Canada,['Province Brands of Canada'],,,,Nunavut,c08f6e281239902d26226757ccedef5a,,province
7755,Wacay,,,0.817666,1,0.817666,venture_unknown,Late Stage Venture,1.0,,crunchbase,Hovås,Sweden,Nordics,,,Wellstreet,,Vastra Gotaland,fda362bb4113928b3e0254c33d6bffd4,2 436 55,wacay
7756,Knotel,,251 - 500,560.0,5,1000.0,venture_c,Late Stage Venture,9.0,1486805.0,crunchbase,New York,United States,US-East,,New York,ITOCHU Corporation;Mori Trust;Norwest Venture Partners;Bloomberg Beta;Wafra Partners;Global Founders Capital;RTP Global;Newmark Knight Frank (NKF);Mercuria Investment,,New York,66fd0f5298392c5182e9e15005012d87,10036,knotel
7757,DEEP,,51 - 100,5.0,3,2.0,venture_a,Early Stage Venture,2.0,15581330.0,crunchbase,Shefayim,Israel,Israel,,,Disruptive Technologies Venture Capital,"Barnoach, Tal",HaMerkaz,18d981a36ebeb65dbcf67b3889fc17ca,,deep-it
7758,MuuseLabs,,1 - 10,0.05595,4,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Brussels,Belgium,WEM,['Jooki'],,The CoFoundry,,Brussels Hoofdstedelijk Gewest,480b84b5204f77209c58b4483b242409,1000,muuselabs-2
7759,Uhomes,,51 - 100,24.375753,3,2.875753,venture_b,Early Stage Venture,2.0,501424.0,crunchbase,Tianjin,China,Greater China,"['异乡好居', 'Uhouzz', 'Yixiang Haoju', '天津异乡好居网络科技有限公司']",,TransLink Capital;Yonghua Capital,,Guangdong,b36a575725ee68ce3ae6a57ad5ee8bba,300041,uhouzz
7760,UBTech Robotics,,501 - 1000,940.0,4,5000.0,venture_c,Late Stage Venture,7.0,196680.0,crunchbase,Shenzhen,China,Greater China,,,Green Pine Capital Partners;Haier;Minsheng Securities;Telstra Ventures;CDH Investments;Tencent Holdings;CreditEase,,Guangdong,a86830c393084ed14c9f4779674b595f,518055,ubtech
7761,OK Car Insurance,,1 - 10,14.354218,3,11.969517,venture_a,Early Stage Venture,1.0,215295.0,crunchbase,Shanghai,China,Greater China,"['OK车险', 'OKchexian']",,Yunqi Partners,,Shanghai,27e61cafc4f5bf68fb4ad3e6d8deab1b,,ok-car-insurance
7762,Tide,,101 - 250,95.236962,6,54.397367,venture_b,Early Stage Venture,4.0,199042.0,crunchbase,London,United Kingdom,UK&I,,,Creandum;Augmentum Fintech;SBI Group;Rabo Frontier Ventures,,England,bb971d77d7b8a3c36925c418077e5d3c,EC1V 4QJ,tide-2
7763,Track N Tell,,11 - 50,5.0,2,37.0,venture_b,Early Stage Venture,3.0,1963452.0,crunchbase,Haryana,India,India,,,Chalet;Komojo,"Acton, Brian",Haryana,75c63108f05b369bf58345fc72b2886f,122002,track-ntell
7764,Paratus Diagnostics,,1 - 10,8.005,2,5.205,venture_unknown,Late Stage Venture,,15491287.0,crunchbase,San Marcos,United States,US-West,,Central Texas,,,California,f7218c94d8a8cb0a9fadd340d7e681fb,78666,paratus-diagnostics
7765,Eyenuk,,1 - 10,5.85371,3,3.0,venture_unknown,Late Stage Venture,,6958133.0,crunchbase,Woodland Hills,United States,US-West,,Greater Los Angeles,,,California,e6879c147f541385f965493cd450ae99,91367,eyenuk
7766,Creo Wellness,,11 - 50,2.25,1,2.25,venture_unknown,Late Stage Venture,,16590516.0,crunchbase,Henrico,United States,US-East,,Mid-Atlantic,,,North Carolina,a9fb5e1e37e8d9bf71910b53ec71221a,23233,creo-wellness
7767,Zylo,,51 - 100,35.2,4,22.5,venture_b,Early Stage Venture,7.0,1536213.0,crunchbase,Indianapolis,United States,US-Central,['Zylo App'],Midwest,Menlo Ventures;GGV Capital;High Alpha;Slack Fund;Bessemer Venture Partners;Rise of the Rest;Salesforce Ventures,,Indiana,818dce8aaa0f1e17a682f58e4d441a8a,46204,zylo
7768,Moneymailme,,11 - 50,1.8935990000000005,5,1.124128,venture_unknown,Late Stage Venture,,6118357.0,crunchbase,London,United Kingdom,UK&I,,,,,England,f764560f286ee6f685240faf2ec52894,,moneymailme
7769,VizExplorer,,101 - 250,0.0,2,0.0,venture_unknown,Late Stage Venture,2.0,11830370.0,crunchbase,San Diego,United States,US-West,,Pacific Southwest (Orange County and San Diego),Stanley Black & Decker;Stanley Ventures,,California,4bc776d99db4e9cc1da21512fbebf813,92127,vizexplorer-3
7770,Quable,,11 - 50,2.938527,2,2.829623,venture_unknown,Late Stage Venture,2.0,2725085.0,crunchbase,Paris,France,WEM,,,SaaS Partners;Les Entrepreneurs Réunis,,Ile-de-France,dc5ab81e1566d6a29522258924e821a3,75010,quable
7771,Currency Capital,,101 - 250,0.0,2,0.0,venture_unknown,Late Stage Venture,2.0,5614112.0,crunchbase,Los Angeles,United States,US-West,,Greater Los Angeles,Clocktower Technology Ventures;Lovell Minnick Partners,,California,347da95083f789240bce9a923b6ee80b,90025,currency-capital
7772,Vive Crop Protection,,11 - 50,22.619978,7,10.0,venture_unknown,Late Stage Venture,2.0,13455609.0,crunchbase,Mississauga,Canada,Canada,,,Middleland Capital;BDC Capital - Cleantech Practice,,Ontario,5a7af007fd2dcb42740eceb2df675718,L4V 1Y8,vive-crop-protection
7773,Scale AI,,101 - 250,122.62,4,1000.0,venture_c,Late Stage Venture,9.0,253632.0,crunchbase,San Francisco,United States,,['Scale AI'],,Founders Fund;Coatue Management;Spark Capital;Thrive Capital;Accel;Index Ventures,"Krieger, Mike;D’Angelo, Adam;Systrom, Kevin",California,b23e775b7799f36ffa8c6b230a1df74e,,scale-2
7774,Predata,,11 - 50,3.25,2,3.25,venture_unknown,Late Stage Venture,3.0,6513497.0,crunchbase,New York,United States,,,,Chicago Ventures;Edison Partners;Conversion Capital,,New York,687697b6edd07cf416b4551e82014ab4,NY 10012,predata
7775,Black Bear Energy,,1 - 10,4.301739,2,1.801739,venture_b,Early Stage Venture,,,crunchbase,Boulder,United States,US-West,,Mountain Desert,,,Colorado,021175e221c8e5a1492e04efcd44afdb,80302,black-bear-energy
7776,WWE & Company,,101 - 250,45.0,1,45.0,venture_a,Early Stage Venture,3.0,,crunchbase,Aberdeen,Hong Kong,Greater China,,,eCargo Enterprise Limited;The Wharf Holdings;Walton Brown,,Hong Kong Island,c92a9e2bb31d6564324582e94321a2ac,,wwe-company-limited
7777,Sentio,,11 - 50,3.125,3,0.0,venture_unknown,Late Stage Venture,2.0,1343520.0,crunchbase,Burlingame,United States,US-West,['andromium'],Northern California,FundersClub;TSVC,,California,dced4b7c170dcb97c0be7d302803fbe1,94010,the-superbook
7778,Swing Education,,11 - 50,22.84,2,15.0,venture_b,Early Stage Venture,8.0,277123.0,crunchbase,San Mateo,United States,US-West,,Northern California,Ulu Ventures;Moment Ventures;GV;Red House Education;Owl Ventures;Edovate Capital;Social Capital;Kapor Capital,,California,00affa056c41a982003db3da26ca063b,94402,swing-education
7779,HudsonField,,11 - 50,0.0,1,0.0,venture_unknown,Late Stage Venture,2.0,,crunchbase,New York,United States,US-East,,New York,GF Investments,"Golub, Harvey",New York,f928e36d171474c9438c56b513198eb8,10105,hudsonfield
7780,Nomad Health,,101 - 250,50.0,5,34.0,venture_unknown,Late Stage Venture,5.0,524514.0,crunchbase,New York,United States,US-East,['Nomad'],New York,Polaris Partners;RRE Ventures;.406 Ventures;Silicon Valley Bank;Icon Ventures,,New York,3053497e8f3a8e23d07e666bfa088d50,10017,nomad-health
